id_producao,id_maquina,data,horas_operacao,unidades_produzidas
97,15,2025-04-17,0 days 00:00:00.000000018,255
98,17,2025-11-13,0 days 00:00:00.000000008,258
99,19,2025-11-24,0 days 00:00:00.000000016,57
100,29,2024-12-19,0 days 00:00:00.000000023,173
101,41,2025-03-10,0 days 00:00:00.000000019,253
102,20,2024-07-22,0 days 00:00:00.000000023,267
103,7,2024-08-30,0 days 00:00:00.000000014,203
104,37,2024-10-29,0 days 00:00:00.000000023,171
105,2,2025-11-05,0 days 00:00:00.000000014,24
106,37,2025-12-03,0 days 00:00:00.000000020,45
107,39,2025-05-23,0 days 00:00:00.000000021,166
108,15,2025-09-13,0 days 00:00:00.000000020,132
109,41,2024-07-13,0 days 00:00:00.000000017,90
110,41,2024-04-09,0 days 00:00:00.000000022,40
111,20,2025-03-27,0 days 00:00:00.000000008,206
112,9,2024-04-02,0 days 00:00:00.000000022,187
113,27,2024-06-28,0 days 00:00:00.000000011,296
114,24,2025-06-27,0 days 00:00:00.000000016,159
115,11,2024-09-20,0 days 00:00:00.000000022,266
116,19,2024-12-12,0 days 00:00:00.000000020,259
117,5,2024-05-24,0 days 00:00:00.000000020,135
118,44,2025-11-21,0 days 00:00:00.000000023,207
119,6,2025-02-08,0 days 00:00:00.000000008,294
120,8,2025-04-10,0 days 00:00:00.000000013,154
121,38,2025-01-25,0 days 00:00:00.000000021,210
122,7,2025-11-22,0 days 00:00:00.000000011,32
123,40,2025-07-28,0 days 00:00:00.000000013,133
124,42,2024-03-05,0 days 00:00:00.000000018,257
125,45,2024-11-05,0 days 00:00:00.000000018,79
126,9,2024-02-16,0 days 00:00:00.000000023,175
127,32,2024-04-28,0 days 00:00:00.000000009,295
128,9,2025-02-01,0 days 00:00:00.000000015,296
129,27,2025-08-24,0 days 00:00:00.000000019,99
130,27,2025-11-01,0 days 00:00:00.000000009,270
131,40,2025-02-21,0 days 00:00:00.000000023,163
132,3,2025-12-07,0 days 00:00:00.000000013,247
133,29,2024-08-29,0 days 00:00:00.000000021,70
134,44,2025-01-11,0 days 00:00:00.000000016,203
135,4,2025-02-11,0 days 00:00:00.000000012,82
136,30,2024-04-03,0 days 00:00:00.000000018,30
137,4,2024-12-07,0 days 00:00:00.000000011,84
138,37,2024-07-29,0 days 00:00:00.000000009,126
139,38,2024-08-09,0 days 00:00:00.000000021,139
140,22,2024-05-31,0 days 00:00:00.000000020,21
141,18,2024-05-28,0 days 00:00:00.000000023,296
142,17,2024-06-27,0 days 00:00:00.000000009,33
143,9,2024-01-16,0 days 00:00:00.000000013,141
144,38,2024-11-27,0 days 00:00:00.000000008,155
145,4,2024-05-09,0 days 00:00:00.000000019,289
146,8,2024-03-06,0 days 00:00:00.000000015,205
147,33,2025-08-30,0 days 00:00:00.000000009,277
148,15,2025-09-21,0 days 00:00:00.000000008,286
149,20,2025-04-14,0 days 00:00:00.000000018,35
150,4,2025-05-05,0 days 00:00:00.000000021,238
151,44,2024-04-20,0 days 00:00:00.000000015,247
152,5,2024-03-23,0 days 00:00:00.000000013,95
153,5,2024-05-09,0 days 00:00:00.000000012,300
154,21,2025-01-25,0 days 00:00:00.000000023,291
155,19,2025-04-09,0 days 00:00:00.000000016,240
156,7,2025-12-19,0 days 00:00:00.000000009,130
157,28,2025-04-07,0 days 00:00:00.000000022,231
158,22,2025-04-09,0 days 00:00:00.000000014,68
159,21,2025-03-13,0 days 00:00:00.000000013,150
160,24,2024-06-05,0 days 00:00:00.000000018,262
161,5,2024-04-03,0 days 00:00:00.000000021,67
162,28,2024-04-08,0 days 00:00:00.000000019,210
163,9,2025-07-23,0 days 00:00:00.000000008,188
164,43,2024-05-05,0 days 00:00:00.000000014,236
165,4,2024-10-21,0 days 00:00:00.000000017,200
166,7,2025-08-14,0 days 00:00:00.000000016,99
167,43,2025-05-08,0 days 00:00:00.000000011,75
168,23,2025-07-23,0 days 00:00:00.000000013,162
169,37,2024-08-19,0 days 00:00:00.000000020,33
170,39,2025-11-04,0 days 00:00:00.000000021,156
171,2,2024-07-03,0 days 00:00:00.000000012,178
172,22,2024-12-25,0 days 00:00:00.000000008,93
173,37,2025-11-04,0 days 00:00:00.000000014,92
174,41,2024-02-01,0 days 00:00:00.000000009,291
175,14,2025-01-20,0 days 00:00:00.000000014,194
176,11,2025-01-13,0 days 00:00:00.000000012,186
177,37,2025-09-02,0 days 00:00:00.000000009,46
178,10,2024-06-10,0 days 00:00:00.000000020,45
179,44,2024-03-24,0 days 00:00:00.000000012,237
180,32,2025-09-13,0 days 00:00:00.000000015,159
181,14,2025-06-08,0 days 00:00:00.000000009,240
182,8,2024-10-17,0 days 00:00:00.000000018,269
183,34,2025-11-14,0 days 00:00:00.000000012,132
184,26,2025-09-05,0 days 00:00:00.000000008,124
185,20,2024-08-04,0 days 00:00:00.000000020,150
186,19,2024-12-01,0 days 00:00:00.000000009,274
187,28,2024-06-28,0 days 00:00:00.000000010,292
188,15,2025-05-27,0 days 00:00:00.000000016,201
189,5,2025-02-10,0 days 00:00:00.000000021,41
190,28,2024-01-20,0 days 00:00:00.000000015,59
191,21,2025-08-12,0 days 00:00:00.000000014,227
192,41,2025-03-03,0 days 00:00:00.000000012,227
193,2,2024-11-28,0 days 00:00:00.000000010,255
194,45,2025-01-05,0 days 00:00:00.000000009,74
195,16,2025-03-22,0 days 00:00:00.000000017,288
196,6,2025-02-09,0 days 00:00:00.000000021,193
197,15,2024-12-07,0 days 00:00:00.000000020,59
198,33,2025-10-10,0 days 00:00:00.000000009,281
199,13,2024-12-23,0 days 00:00:00.000000013,95
200,16,2024-04-15,0 days 00:00:00.000000010,121
201,12,2025-09-08,0 days 00:00:00.000000010,58
202,12,2025-10-05,0 days 00:00:00.000000015,249
203,44,2025-08-01,0 days 00:00:00.000000018,185
204,41,2024-11-19,0 days 00:00:00.000000010,54
205,31,2025-03-28,0 days 00:00:00.000000018,160
206,38,2024-02-27,0 days 00:00:00.000000013,57
207,20,2025-04-17,0 days 00:00:00.000000015,49
208,24,2024-10-20,0 days 00:00:00.000000009,66
209,40,2025-08-31,0 days 00:00:00.000000016,256
210,38,2025-07-21,0 days 00:00:00.000000023,41
211,29,2025-08-08,0 days 00:00:00.000000018,184
212,39,2025-05-02,0 days 00:00:00.000000016,51
213,29,2024-04-15,0 days 00:00:00.000000020,195
214,6,2025-05-31,0 days 00:00:00.000000018,40
215,16,2025-12-25,0 days 00:00:00.000000015,244
216,34,2025-06-19,0 days 00:00:00.000000017,206
217,24,2024-10-16,0 days 00:00:00.000000014,193
218,44,2025-09-04,0 days 00:00:00.000000008,191
219,5,2024-12-03,0 days 00:00:00.000000009,217
220,19,2024-09-15,0 days 00:00:00.000000019,96
221,22,2024-03-24,0 days 00:00:00.000000017,92
222,23,2024-11-13,0 days 00:00:00.000000023,220
223,9,2025-09-01,0 days 00:00:00.000000019,63
224,20,2025-07-26,0 days 00:00:00.000000014,188
225,9,2025-11-17,0 days 00:00:00.000000019,289
226,6,2025-10-23,0 days 00:00:00.000000018,280
227,24,2024-01-19,0 days 00:00:00.000000013,112
228,14,2024-12-15,0 days 00:00:00.000000023,268
229,13,2024-08-19,0 days 00:00:00.000000024,99
230,5,2024-10-29,0 days 00:00:00.000000021,71
231,33,2025-07-06,0 days 00:00:00.000000021,289
232,3,2025-11-08,0 days 00:00:00.000000013,87
233,39,2025-01-20,0 days 00:00:00.000000010,112
234,45,2025-10-01,0 days 00:00:00.000000020,104
235,29,2024-02-14,0 days 00:00:00.000000014,141
236,29,2025-09-17,0 days 00:00:00.000000012,249
237,15,2025-06-30,0 days 00:00:00.000000011,260
238,13,2025-01-11,0 days 00:00:00.000000018,245
239,30,2024-10-15,0 days 00:00:00.000000020,277
240,34,2025-03-04,0 days 00:00:00.000000023,122
241,39,2024-05-21,0 days 00:00:00.000000021,46
242,42,2025-05-07,0 days 00:00:00.000000021,72
243,34,2024-05-07,0 days 00:00:00.000000012,102
244,18,2025-04-05,0 days 00:00:00.000000022,95
245,28,2024-04-03,0 days 00:00:00.000000023,133
246,29,2024-12-23,0 days 00:00:00.000000022,232
247,4,2025-02-09,0 days 00:00:00.000000016,140
248,25,2024-03-24,0 days 00:00:00.000000014,34
249,21,2024-04-11,0 days 00:00:00.000000021,191
250,10,2024-05-20,0 days 00:00:00.000000008,261
