id_falha,id_maquina,data_falha,tipo_falha,tempo_parado_horas,custo_manutencao
84,40,2024-12-09,Falha mecânica,0 days 00:00:00.000000014,11391.5
85,44,2024-11-13,Sensor defeituoso,0 days 00:00:00.000000014,2636.63
86,3,2024-09-07,Contaminação de processo,0 days 00:00:00.000000011,11643.1
87,30,2025-02-28,Sensor defeituoso,0 days 00:00:00.000000013,6067.69
88,26,2024-09-06,Parada hidráulica,0 days 00:00:00.000000012,580.4
89,7,2025-03-11,Sensor defeituoso,0 days 00:00:00.000000003,14390.51
90,34,2025-04-20,Falha elétrica,0 days 00:00:00.000000010,13803.32
91,8,2025-04-12,Parada hidráulica,0 days 00:00:00.000000014,10179.88
92,36,2025-09-01,Falha pneumática,0 days 00:00:00.000000017,13425.68
93,40,2025-05-31,Problema de alinhamento,0 days 00:00:00.000000015,8444.14
94,11,2025-05-01,Contaminação de processo,0 days 00:00:00.000000005,4084.98
95,41,2024-10-10,Contaminação de processo,0 days 00:00:00.000000011,4481.66
96,5,2025-12-31,Superaquecimento,0 days 00:00:00.000000004,5369.79
97,35,2024-03-23,Parada hidráulica,0 days 00:00:00.000000003,6054.01
98,10,2025-12-24,Sensor defeituoso,0 days 00:00:00.000000002,6410.19
99,35,2025-04-22,Problema de alinhamento,0 days 00:00:00.000000002,12576.92
100,25,2025-08-21,Falha elétrica,0 days 00:00:00.000000015,11601.12
101,25,2025-05-03,Falha elétrica,0 days 00:00:00.000000017,4829.88
102,25,2025-03-05,Sensor defeituoso,0 days 00:00:00.000000009,4457.56
103,32,2024-01-30,Problema de alinhamento,0 days 00:00:00.000000006,10347.56
104,26,2024-06-18,Contaminação de processo,0 days 00:00:00.000000016,14720.47
105,35,2024-01-28,Problema de alinhamento,0 days 00:00:00.000000011,10113.5
106,6,2025-10-20,Problema de alinhamento,0 days 00:00:00.000000003,7194.63
107,4,2024-09-23,Problema de alinhamento,0 days 00:00:00.000000006,7093.14
108,22,2025-01-23,Superaquecimento,0 days 00:00:00.000000013,12562.9
109,17,2024-03-24,Contaminação de processo,0 days 00:00:00.000000001,8321.58
110,23,2024-08-17,Falha mecânica,0 days 00:00:00.000000014,9950.44
111,2,2024-09-10,Sensor defeituoso,0 days 00:00:00.000000015,9509.37
112,16,2024-05-09,Contaminação de processo,0 days 00:00:00.000000012,8677.56
113,14,2025-04-21,Superaquecimento,0 days 00:00:00.000000014,2932.94
114,39,2024-04-27,Parada hidráulica,0 days 00:00:00.000000017,2067.43
115,2,2024-11-15,Problema de alinhamento,0 days 00:00:00.000000007,10867.71
116,5,2025-08-29,Sensor defeituoso,0 days 00:00:00.000000002,11700.97
117,44,2025-09-06,Falha mecânica,0 days 00:00:00.000000014,8706.02
118,3,2024-12-21,Problema de alinhamento,0 days 00:00:00.000000012,1499.87
119,42,2024-12-15,Falha elétrica,0 days 00:00:00.000000015,12423.8
120,7,2025-03-19,Falha pneumática,0 days 00:00:00.000000011,12516.26
