id_producao,id_maquina,data,horas_operacao,unidades_produzidas
188,15,2025-05-27,16.94,201
189,5,2025-02-10,21.79,41
190,28,2024-01-20,15.36,59
191,21,2025-08-12,14.87,227
192,41,2025-03-03,12.63,227
193,2,2024-11-28,10.75,255
194,45,2025-01-05,9.41,74
195,16,2025-03-22,17.42,288
196,6,2025-02-09,21.93,193
197,15,2024-12-07,20.47,59
198,33,2025-10-10,9.82,281
199,13,2024-12-23,13.62,95
200,16,2024-04-15,10.34,121
201,12,2025-09-08,10.45,58
202,12,2025-10-05,15.91,249
203,44,2025-08-01,18.29,185
204,41,2024-11-19,10.42,54
205,31,2025-03-28,18.1,160
206,38,2024-02-27,13.63,57
207,20,2025-04-17,15.23,49
208,24,2024-10-20,9.23,66
209,40,2025-08-31,16.11,256
210,38,2025-07-21,23.27,41
211,29,2025-08-08,18.43,184
212,39,2025-05-02,16.02,51
213,29,2024-04-15,20.98,195
214,6,2025-05-31,18.34,40
215,16,2025-12-25,15.0,244
216,34,2025-06-19,17.76,206
217,24,2024-10-16,14.2,193
218,44,2025-09-04,8.84,191
219,5,2024-12-03,9.51,217
220,19,2024-09-15,19.58,96
221,22,2024-03-24,17.32,92
222,23,2024-11-13,23.48,220
223,9,2025-09-01,19.34,63
224,20,2025-07-26,14.03,188
225,9,2025-11-17,19.25,289
226,6,2025-10-23,18.73,280
227,24,2024-01-19,13.8,112
228,14,2024-12-15,23.16,268
229,13,2024-08-19,24.0,99
230,5,2024-10-29,21.51,71
231,33,2025-07-06,21.36,289
232,3,2025-11-08,13.39,87
233,39,2025-01-20,10.47,112
234,45,2025-10-01,20.94,104
235,29,2024-02-14,14.57,141
236,29,2025-09-17,12.56,249
237,15,2025-06-30,11.83,260
238,13,2025-01-11,18.85,245
239,30,2024-10-15,20.45,277
240,34,2025-03-04,23.46,122
241,39,2024-05-21,21.97,46
242,42,2025-05-07,21.99,72
243,34,2024-05-07,12.56,102
244,18,2025-04-05,22.48,95
245,28,2024-04-03,23.14,133
246,29,2024-12-23,22.89,232
247,4,2025-02-09,16.03,140
248,25,2024-03-24,14.0,34
249,21,2024-04-11,21.43,191
250,10,2024-05-20,8.61,261
